sp,model,rcp,scen,dispersal,year,hs_change,area_km2,sd_hsc,sd_area
Adenostoma sparsifolium,meanw,rcp85,hades,fd_change_prop,2085,5.352887862149653,23702.19414730474,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp45,cnrm,nd_change_prop,2055,-0.12082710334887745,3200.375976199052,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp45,cnrm,fd_change_prop,2055,3.0773894007068616,14842.562974059838,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp45,cnrm,nd_change_prop,2085,-0.23067157669425592,2800.5187752413567,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp45,cnrm,fd_change_prop,2085,2.0639536780249728,11153.441809556864,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp45,hades,nd_change_prop,2055,-0.01934554252817518,3569.7904002729533,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp45,hades,fd_change_prop,2055,2.227610821057868,11749.188551626525,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp45,hades,nd_change_prop,2085,-0.3890856977818806,2223.857746050525,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp45,hades,fd_change_prop,2085,1.1960902668042406,7994.234761122152,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp85,cnrm,nd_change_prop,2055,-0.07223056897307648,3377.277677485871,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp85,cnrm,fd_change_prop,2055,3.34647671662567,15822.097926339173,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp85,cnrm,nd_change_prop,2085,0.09874270665758791,3999.656695293072,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp85,cnrm,fd_change_prop,2085,8.613084574042247,34993.66853223525,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp85,hades,nd_change_prop,2055,-0.32601637705392655,2453.443461968055,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp85,hades,fd_change_prop,2055,0.9331591076661626,7037.109526364609,3.455082486836916,13195.020156071427
Adenostoma sparsifolium,median,rcp85,hades,nd_change_prop,2085,-0.5111044508115945,1779.6835826640663,0.16442895382867123,608.4865188830171
Adenostoma sparsifolium,median,rcp85,hades,fd_change_prop,2085,2.1603435932222146,11504.321562697764,3.455082486836916,13195.020156071427
Aesculus californica,mean,rcp45,cnrm,nd_change_prop,2055,-0.4127132249360022,21920.903070439348,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp45,cnrm,fd_change_prop,2055,-0.08377056338974927,34198.92550454232,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp45,cnrm,nd_change_prop,2085,-0.496393296157193,18797.48397085671,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp45,cnrm,fd_change_prop,2085,-0.13503527537136575,32285.43310185617,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp45,hades,nd_change_prop,2055,-0.45113683331526144,20486.714134707778,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp45,hades,fd_change_prop,2055,-0.1456559418972925,31889.009052578152,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp45,hades,nd_change_prop,2085,-0.5702394560734313,16041.12271366405,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp45,hades,fd_change_prop,2085,-0.25155811917820287,27936.13379351865,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp85,cnrm,nd_change_prop,2055,-0.3586926196788404,23937.261180188485,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp85,cnrm,fd_change_prop,2055,-0.0269347831661097,36320.362053287055,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp85,cnrm,nd_change_prop,2085,-0.6617111806949446,12626.874523083545,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp85,cnrm,fd_change_prop,2085,-0.28504356873832576,26686.265202492483,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp85,hades,nd_change_prop,2055,-0.5270942560796419,17651.548466764845,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp85,hades,fd_change_prop,2055,-0.09836724485318048,33654.09382588739,0.1952174819106438,8879.262208555181
Aesculus californica,mean,rcp85,hades,nd_change_prop,2085,-0.8115341786166477,7034.62291005106,0.17359243582293982,7370.478927966256
Aesculus californica,mean,rcp85,hades,fd_change_prop,2085,-0.39304035657027175,22655.207091699995,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp45,cnrm,nd_change_prop,2055,-0.18504546105342493,32683.45779612608,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp45,cnrm,fd_change_prop,2055,0.1248506698585733,45111.73033380322,0.1952174819106438,8879.262208555181
Aesculus californica,meansup,rcp45,cnrm,nd_change_prop,2085,-0.2566074545275186,29813.489863263854,0.17359243582293982,7370.478927966256
Aesculus californica,meansup,rcp45,cnrm,fd_change_prop,2085,0.0460299700602267,41950.654602327035,0.1952174819106438,8879.262208555181
