species,model,unres,occ,ratio
Pinus lambertiana,mean,82427.2054072393,56826.6520145564,0.689416215602592
Pinus lambertiana,meansup,86545.4764839625,49336.4575620144,0.570063965979282
Pinus lambertiana,meanthr,66551.9721770588,49412.1216930085,0.742459165019927
Pinus lambertiana,meanw,108459.649521452,57601.4361830278,0.531086320462753
Pinus lambertiana,median,72931.4611356054,63413.697148571,0.869497143772596
Pinus muricata,mean,169909.682827282,15473.5533127503,0.0910692849004942
Pinus muricata,meansup,151369.359745873,7758.18183766967,0.051253317386653
Pinus muricata,meanthr,101738.68142878,10052.920442739,0.0988111925725741
Pinus muricata,meanw,150387.184117031,14676.9734875236,0.0975945761182817
Pinus muricata,median,111945.768952477,29992.6723947481,0.267921446923828
Pinus quadrifolia,mean,194627.574753354,1327.21471568277,0.00681925321920448
Pinus quadrifolia,meansup,91318.6281484824,2296.34549599544,0.0251465176662709
Pinus quadrifolia,meanthr,67586.2246418518,1523.38834762502,0.0225399237151897
Pinus quadrifolia,meanw,150315.880991759,1657.45116092026,0.0110264540911092
Pinus quadrifolia,median,45070.6319906833,394.096660240394,0.00874397901324879
Pinus sabiniana,mean,127491.93118344,82825.6475327867,0.649654035074691
Pinus sabiniana,meansup,117945.24433832,93574.9826280061,0.793376478661496
Pinus sabiniana,meanthr,107994.233574491,77084.7088478871,0.713785415169566
Pinus sabiniana,meanw,144479.242879905,83928.4069487147,0.580902870722255
Pinus sabiniana,median,118286.842198155,89682.9862878951,0.758182267962291
Pinus torreyana,mean,45083.397971618,976.564715355156,0.0216612934981065
Pinus torreyana,meansup,46130.534826585,2685.8473199276,0.0582227656805694
Pinus torreyana,meanthr,33902.1236943284,852.343656545084,0.0251413057255666
Pinus torreyana,meanw,14907.1268856489,656.170690600179,0.0440172472961155
Pinus torreyana,median,35228.1030187749,2006.05504359985,0.0569447364943473
Platanus racemosa,mean,98758.5649463154,82646.6978776578,0.836856002540985
Platanus racemosa,meansup,87950.2606355146,55592.916846193,0.632094964181884
Platanus racemosa,meanthr,81538.2593084085,63084.335572251,0.773677732481904
Platanus racemosa,meanw,138600.06346691,86218.0719068736,0.622063726020281
Platanus racemosa,median,91591.1753259383,77429.6743719838,0.84538356557213
Poa stebbinsii,mean,108356.845149038,3772.21292418915,0.0348128714803455
Poa stebbinsii,meansup,9530.37888854264,2614.85137480579,0.274370138415939
Poa stebbinsii,meanthr,7361.67014070761,3585.15133629159,0.487002442077224
Poa stebbinsii,meanw,18964.2471286329,3524.71704409359,0.185861163914693
Poa stebbinsii,median,5916.42169041874,3718.1207971487,0.628440802853852
Prunus ilicifolia,mean,121037.158134854,34956.7741342703,0.288810268457585
Prunus ilicifolia,meansup,118898.571418728,28727.1583463818,0.241610626634131
Prunus ilicifolia,meanthr,76186.5521864524,25741.3879594311,0.337873118295652
Prunus ilicifolia,meanw,163238.358985848,37207.055137792,0.227930832979139
Prunus ilicifolia,median,76573.0678925642,35747.6784457504,0.466844014868337
Pseudotsuga macrocarpa,mean,77969.585165437,10568.1480956858,0.135541930526656
Pseudotsuga macrocarpa,meansup,39995.9767226016,7296.38664925756,0.182428015194198
Pseudotsuga macrocarpa,meanthr,40583.3921904804,8941.30835307722,0.220319393487629
Pseudotsuga macrocarpa,meanw,76671.3106158758,10567.7105428649,0.137831353839891
Pseudotsuga macrocarpa,median,47423.5275493897,9926.48083034962,0.209315530566797
Ptilagrostis kingii,mean,5301.58292710392,2731.78304151552,0.515276867131419
Ptilagrostis kingii,meansup,7258.36632779785,3574.43554150663,0.492457307895494
Ptilagrostis kingii,meanthr,7638.17495109576,3044.52458198279,0.398593198175702
Ptilagrostis kingii,meanw,15476.6141630191,3393.64322737436,0.219275559345749
Ptilagrostis kingii,median,4100.04444583635,2731.78304151552,0.666281323923131
Quercus agrifolia,mean,106513.756596683,62811.9080294158,0.589707001577781
Quercus agrifolia,meansup,126458.478589346,58420.4820576437,0.461973627306991
Quercus agrifolia,meanthr,98877.6278686935,48464.9695057718,0.490151013433816
Quercus agrifolia,meanw,155855.770292923,62484.4412034654,0.40091195267284
Quercus agrifolia,median,104828.092692653,70752.6141484114,0.674939439715385
Quercus chrysolepis,mean,103898.90024702,84932.0576917101,0.817449053741512
Quercus chrysolepis,meansup,103859.266467995,84151.6886049989,0.810247284299191
Quercus chrysolepis,meanthr,85418.8071907915,80285.482962126,0.939904051607749
Quercus chrysolepis,meanw,152137.336438947,84538.1794555262,0.555670169034748
Quercus chrysolepis,median,99177.3066966802,93508.5323299945,0.942842021471475
Quercus douglasii,mean,133821.774597543,106144.552510324,0.793178485560695
Quercus douglasii,meansup,144660.796053441,98489.9746927851,0.680833905105849
Quercus douglasii,meanthr,116523.986709353,97768.6320670499,0.839042971563573
Quercus douglasii,meanw,141074.378559477,107102.750288003,0.759193493401416
